Feature	NEEN.011	NEEN.012	NEEN.013	NEEN.014	NEEN.015	NEEN.016	NEEN.021	NEEN.022	NEEN.023	NEEN.024	NEEN.025	NEEN.026	NEEN.031	NEEN.032	NEEN.033	NEEN.034	NEEN.035	NEEN.036	NEEN.051	NEEN.052	NEEN.053	NEEN.054	NEEN.055	NEEN.056
Plasma_Propionic acid	6.10492491839702	5.93840861678677	4.29419380318355	4.25225520730289	2.35386703427384	2.69049595340198	NA	7.31924783219485	NA	8.70750387671525	8.04310074210656	4.6551559397358	40.6643897688191	7.95544971137015	4.97310848354296	9.1168072009167	4.27573869156533	6.32395775700589	7.82492419645832	17.6326542981829	11.3380538416276	41.070621714643	8.13613857937236	23.5851828274797
Plasma_Butyric acid	NA	0.262009925199938	0.112489782774566	0.118368426403688	NA	NA	NA	NA	NA	1.75117289842735	1.78608155418162	0.0205594669400593	27.011759136638	NA	0.0119392075467164	NA	0.0839038560635794	0.503840930814436	0.0163094954485876	0.177861803892654	NA	7.5594921618388	0.213394799085337	1.87706714007561
Plasma_Iso-butyric acid	3.81704846043293	1.96351408934515	5.85718579769542	2.82534441495669	2.47246922979207	2.51543282433623	NA	2.27844127049319	NA	5.42708912105248	4.38581205674569	2.68831500837724	2.63634502150401	3.91280982971722	2.29025267074787	3.11041122579769	3.2185496426746	4.29679526949187	2.93508410976783	4.15751409581499	2.49740496309613	6.20954260918466	2.32735763925151	4.29327286470144
Plasma_Succinic acid	15.0567053625951	14.2252147709414	19.6513347181269	6.77869889246766	7.29173559821974	10.4227908161057	NA	7.56525142729392	NA	238.26664272674	295.716054802604	19.8556105196396	16.6323875263099	12.7333298485572	15.6952406887088	12.9443237634632	45.4548608484534	200.945467190945	14.2418765015882	83.4074746477542	9.62400383191533	184.984932290989	32.5321456426996	78.4947895930094
Plasma_Valeric acid	0.272271772860731	0.206263052674855	0.336274582026462	0.222098146607847	0.158386067587329	0.153404849779143	NA	0.107784179167342	NA	0.197493590020794	0.549601564391486	0.249651816132897	1.23364476748705	0.091071140427995	0.146771487843181	0.108227741377895	0.16264103605959	0.214410944599986	0.0661542596251432	0.104851967276319	0.0945941310294325	0.181683012082377	0.106542186710196	0.182496087189481
Plasma_Iso-valeric acid	0.0434411448325646	0.0928925656893878	0.0972982338902987	0.0657730112503449	0.116299588032215	0.0854486246558056	NA	0.0490176492040152	NA	0.0945377494016611	0.133081762560869	0.0370895369003797	0.171210640760809	0.0471667313047831	0.0755793031455089	0.0365167161016573	0.0366492548894702	0.103669001025533	0.0636535981854886	0.0825138639119185	0.0275121311745828	0.169745487615157	0.00705270766650656	NA
Plasma_Caproic acid	0.950968174123731	0.439895510071113	1.04630739171719	0.84995499217487	0.512036527974964	0.225430662904193	NA	0.343871506063794	NA	0.928661542250698	1.44459257071043	0.692236821023042	0.25298628258754	NA	0.50564321562544	0.182888303688832	0.558608770159663	0.400529531693872	0.339248935796972	NA	0.387855965722684	2.15581751116033	0.365594250406933	0.425869493853004
Cecum_Formic acid	NA	NA	0.028085011143381	0.0137037029415083	NA	0.00118839650727196	0.0406246532489326	0.0477422490460959	NA	0.0214158470551226	NA	0.0831970474847607	0.0410813141199672	0.033744137516387	0.00569673897792858	NA	NA	NA	1.3272535743117e-4	NA	NA	0.0251849184684388	0.0232638602717073	NA
Cecum_Acetic acid	2.61675477042303	4.92591799171101	5.42569281996202	2.36358517409437	5.27919426289807	6.68178127099716	3.49792940658458	4.37265859237485	8.13334846105047	2.81008716974322	7.28555728099362	8.40571182083627	8.87588786441725	6.87076403055236	3.6483943157498	6.46411699312552	3.68517162054322	2.49189811332694	4.1670091958177	1.47905380494172	3.31683540265814	0.250293605850771	8.73913849771879	3.71992014241123
Cecum_Propionic acid	0.483900121008606	0.948639982610495	1.35959504548579	0.690023444385524	1.26835646977469	2.04052540295131	0.84541975205465	1.05299735342113	2.07593017954353	0.619751822010144	2.15082855148356	2.0140271247866	1.61257963288704	1.5585247547131	0.7964787852938	1.57020723074849	1.24923842536196	0.57433716701928506	1.33568110504501	0.324636732082081	1.04256431286322	0.00987698462179586	1.79271961827282	1.64019251990862
