Taxa	NEEN.011	NEEN.012	NEEN.013	NEEN.014	NEEN.015	NEEN.016	NEEN.021	NEEN.022	NEEN.023	NEEN.024	NEEN.025	NEEN.026
2ef1e51ab1cf99a3c6417b05a060830e	474	187	243	171	213	161	194	87	147	208	213	251
dd32c3610b76a3591b97377a5829c947	0	0	0	0	32	40	0	0	0	52	60	45
0df6c802966e8670279671824da4f10a	4068	1780	4755	3794	6681	1233	2880	1079	1529	2508	2766	2748
6f1cbae792de3e1162d3d7dffbe4bb20	0	0	0	0	0	48	43	8	16	0	0	0
8871e9e05450b91fd3c712a6182dc017	0	0	0	0	0	0	0	0	0	0	0	0
3069dcbaf1716332e394e2b09ec8d459	0	0	0	0	0	0	0	0	0	0	0	0
6f7235a09de4606a1f0729263e905463	0	0	0	0	0	0	0	0	0	0	0	0
62aed129ef47cdb0866bddc5afd8ab4a	0	0	0	0	0	0	0	0	0	0	0	0
e24c503891e8ce10588113c3dfce9c2f	0	0	0	0	0	0	0	0	0	0	0	0
47817d7fe7b63f6f790deb76307bd30c	0	0	0	0	0	0	0	0	0	0	0	0
9575740425ce7248ee69ee6cf67517c6	0	0	0	0	0	0	0	0	0	0	0	0
b65dc53ce17411418917284c11fceabf	0	0	0	0	0	0	0	0	0	0	0	0
9f04d4582c00cc1372a4a536aaa64d65	0	0	0	0	0	0	0	0	0	0	0	0
922d33a2963d3e87a3d4df6b82371235	0	0	0	0	0	0	4	0	0	0	0	0
df0e3d38eec730326754d8c17a8b8efe	182	88	272	215	152	84	86	67	485	331	312	533
1fd294eea9485182ef6ac20c65e5a949	0	0	0	0	0	0	0	0	0	0	81	54
4cc1bff6843e62a70038bc31c88f932f	0	0	0	0	0	0	0	0	0	0	0	0
2ca424adcfa031e3bd222a727cd1421b	0	0	0	0	0	0	0	0	0	0	0	0
0633debdc6e91e0bb3eaa7657eff93eb	0	0	0	0	0	0	0	0	0	0	0	0
f1b8797a292a25eb72f6280b3ff7d132	0	0	0	0	0	0	0	0	0	0	0	0
7d8a67d9a7ae541304d69c0080342a68	7	3	10	0	0	0	11	0	0	4	0	8
f1b5d72cafaaea7b61c531cb90452d9c	41	61	65	45	37	21	47	53	61	19	30	34
ee84f17a4e398c4af09778df0c309c86	0	0	0	0	11	0	0	0	0	0	0	15
0c05681876f592d86aeafdde2a2703bf	0	0	0	0	0	0	0	0	0	0	0	0
a828d86ae6b1ae29eea5092499bc99df	16	11	27	14	15	35	19	11	20	12	10	17
77f352b310dc941a969edf6536c2e820	0	0	8	7	10	6	0	2	7	4	0	7
fb53e90170e07b153255c4bc54a8babb	3	0	0	0	0	0	0	0	0	0	0	0
62dc76a09326c359be5946507e82e9fa	0	0	0	0	4	4	5	0	0	0	0	3
b2224d09fb56fffb7949a37935a5b572	0	0	0	0	0	0	0	0	0	0	0	0
3abae39e94cf51920aec2b9fb42b53a9	46	48	55	44	38	49	61	52	46	38	44	39
8212cb5c87ef6191f7ddd1eb8f3dca99	0	0	0	0	0	0	0	0	0	0	0	0
da02ace480dfd68c5ab89aedff640035	0	0	0	0	0	0	0	0	0	0	0	0
d23bbe506e4ded19e9dd017b65275bab	0	0	5	0	0	0	0	0	0	0	0	0
c6f4aa25b9a6b316e50c3f0308c05ab9	0	3	0	0	0	0	2	0	0	0	0	0
d01b45323548adfff0b9207e39472ade	4	0	8	0	0	0	0	0	0	0	0	0
78bde97a6e8f259342747f2d608611b2	0	0	0	0	0	3	0	0	0	0	0	0
a2cafeeff0065516ce0706c7aea99297	0	0	0	0	0	0	0	0	0	0	0	0
a9fa77fde69f69499b9e8a7567be8836	0	0	0	0	0	0	0	0	0	0	0	0
f77a4cf04f5adf93dc5755b529482012	0	0	0	0	0	0	0	0	0	0	0	13
ec30afcaa4c767538eb33d63f35aaf38	19	29	22	15	0	12	12	12	9	11	0	0
3e9e6197d0866ceeaa0d19f676601a4a	0	0	0	30	0	0	0	0	0	0	0	0
d5f4e724b7fd8b007ef230dbd43c7a3c	0	25	0	0	0	0	0	0	0	0	0	0
128663d8fbf501fb5f4812f214e4f1bc	0	0	0	0	0	0	0	0	6	0	0	0
a6b8bcc8499b4128678a3a671a0bd004	0	0	0	0	0	0	0	0	0	0	0	0
